发送时间：2019-04-12 13:55:31 	 服务器地址：http://192.168.11.201:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2019-04-12 13:56:37 	 服务器地址：http://192.168.11.201:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2019-04-12 13:57:09 	 服务器地址：http://192.168.11.201:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2019-04-12 13:59:58 	 服务器地址：http://192.168.11.201:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2019-04-12 14:01:01 	 服务器地址：http://192.168.11.201:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2019-04-12 14:02:12 	 服务器地址：http://192.168.11.201:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2019-04-12 14:03:43 	 服务器地址：http://192.168.11.201:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2019-04-12 14:04:43 	 服务器地址：http://192.168.11.201:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2019-04-12 14:08:05 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：成功收到数据！ 
发送时间：2019-04-12 14:08:40 	 服务器地址：http://192.168.11.201:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2019-04-12 14:09:52 	 服务器地址：http://192.168.11.201:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2019-04-12 14:27:22 	 服务器地址：http://192.168.11.201:8000/assets/report/ 	 返回结果：成功收到数据！ 
发送时间：2019-04-12 15:19:41 	 服务器地址：http://192.168.11.201:8000/assets/report/ 	 返回结果：发送失败 
